customer_id,store_region,membership_tier,purchase_channel,membership_years,annual_spend,satisfaction_score
CUST0001,Nordjylland,Bronze,In-store,1.9,6300,3
CUST0002,Midtjylland,Silver,In-store,4.9,28100,5
CUST0003,Sjælland,Gold,Online,8.5,48900,4
CUST0004,Hovedstaden,Silver,Online,1.0,19400,1
CUST0005,Midtjylland,Bronze,Online,2.8,30200,3
CUST0006,Sjælland,Bronze,Online,2.0,24700,4
CUST0007,Fyn,Silver,Online,3.8,14300,5
CUST0008,Fyn,Gold,Online,2.4,21400,3
CUST0009,Nordjylland,Bronze,In-store,3.1,8500,5
CUST0010,Hovedstaden,Bronze,Online,11.9,52800,5
CUST0011,Hovedstaden,Gold,In-store,3.1,20100,5
CUST0012,Midtjylland,Bronze,In-store,4.6,41100,3
CUST0013,Midtjylland,Gold,Online,3.0,23800,2
CUST0014,Syddanmark,Bronze,Online,3.7,13300,5
CUST0015,Nordjylland,Bronze,Online,3.5,25800,3
CUST0016,Hovedstaden,Platinum,In-store,4.7,29000,4
CUST0017,Midtjylland,Bronze,Online,7.5,9600,5
CUST0018,Hovedstaden,Silver,Online,10.2,64900,2
CUST0019,Syddanmark,Bronze,In-store,4.3,16700,5
CUST0020,Fyn,Bronze,In-store,5.1,20000,5
CUST0021,Sjælland,Bronze,In-store,1.7,5600,4
CUST0022,Hovedstaden,Bronze,Online,3.3,16900,4
CUST0023,Syddanmark,Bronze,In-store,6.4,65900,5
CUST0024,Fyn,Bronze,Online,6.1,32000,4
CUST0025,Syddanmark,Silver,In-store,4.0,19500,4
CUST0026,Midtjylland,Silver,Online,6.2,19800,5
CUST0027,Fyn,Bronze,In-store,4.8,13500,4
CUST0028,Hovedstaden,Silver,Online,7.6,14200,3
CUST0029,Midtjylland,Silver,In-store,4.2,21300,2
CUST0030,Syddanmark,Gold,In-store,2.8,27500,3
CUST0031,Fyn,Gold,Online,4.4,13800,4
CUST0032,Midtjylland,Bronze,Online,0.5,7600,4
CUST0033,Hovedstaden,Bronze,Online,4.5,12300,4
CUST0034,Sjælland,Bronze,In-store,0.5,5700,4
CUST0035,Hovedstaden,Bronze,In-store,1.1,13700,5
CUST0036,Hovedstaden,Gold,In-store,4.7,16200,5
CUST0037,Syddanmark,Silver,In-store,4.8,26600,3
